Job Title,Job Description,Company,Location,Experience,Education,Salary,skills,Category
Software Engineer,We are looking for a Software Engineer to join our team. The ideal candidate will have experience in AWS and Kubernetes. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,Spencer LLC,"Austin, TX",5-8 years,Bachelor's Degree,"$130,000 - $180,000","AWS, Docker, REST APIs, Microservices, Node.js, NoSQL",Software Development
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Java and CI/CD. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Seattle, WA.",Johnson-Guerrero,"Seattle, WA",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","REST APIs, Docker, Java, JavaScript",Software Development
Data Engineer,"We are looking for a Data Engineer to join our team. The ideal candidate will have experience in Data Visualization and Machine Learning. This role requires 8+ years of experience and Master's Degree. The position is based in San Francisco, CA.",Gomez-Smith,"Austin, TX",8+ years,PhD,"$180,000+","Big Data, Statistics, R, Spark, Data Analysis, PyTorch",Data Science
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in UI/UX Design and Figma. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Walters-Robbins,"New York, NY",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Design Systems, Figma, Adobe XD, Visual Design, Sketch",Design
Frontend Developer,"We are looking for a Frontend Developer to join our team. The ideal candidate will have experience in Python and Python. This role requires 0-2 years of experience and Master's Degree. The position is based in Boston, MA.","Morse, Burton and Hamilton","Seattle, WA",2-5 years,PhD,"$90,000 - $130,000","CI/CD, Node.js, NoSQL, SQL, AWS, REST APIs",Software Development
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in User Stories and Data Analysis. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.",Allen-Ritter,"Seattle, WA",0-2 years,Master's Degree,"$60,000 - $90,000","Stakeholder Management, Product Metrics, User Stories, Agile, Product Strategy",Product Management
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Google Analytics and Digital Marketing. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Austin, TX.",Davies and Sons,Hybrid,8+ years,PhD,"$180,000+","Campaign Management, Marketing Automation, Content Marketing",Marketing
Marketing Analyst,We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Google Analytics and Content Marketing. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Arias Group,"Austin, TX",2-5 years,Bachelor's Degree,"$90,000 - $130,000","A/B Testing, SEO, Marketing Automation, Content Marketing, Email Marketing, Google Analytics",Marketing
Product Designer,"We are looking for a Product Designer to join our team. The ideal candidate will have experience in Figma and Interaction Design. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.",Sims Group,"New York, NY",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Visual Design, Sketch, Interaction Design, Prototyping, Figma",Design
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Content Marketing and Email Marketing. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in New York, NY.",Wood-Morales,Hybrid,0-2 years,Bachelor's Degree,"$60,000 - $90,000","SEO, Google Analytics, Digital Marketing, A/B Testing, Social Media, Content Marketing",Marketing
Senior Product Manager,"We are looking for a Senior Product Manager to join our team. The ideal candidate will have experience in Product Roadmap and Data Analysis. This role requires 8+ years of experience and Master's Degree. The position is based in Austin, TX.","Cohen, Davis and Morales","Seattle, WA",2-5 years,Master's Degree,"$90,000 - $130,000","Product Roadmap, Data Analysis, Scrum, Market Research, Product Metrics, Stakeholder Management",Product Management
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Product Roadmap and User Stories. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in San Francisco, CA.","Jones, Graves and Cline",Remote,8+ years,Bachelor's Degree or equivalent experience,"$180,000+","Product Roadmap, A/B Testing, User Stories, Scrum",Product Management
UX Designer,We are looking for a UX Designer to join our team. The ideal candidate will have experience in Wireframing and Figma. This role requires 0-2 years of experience and PhD. The position is based in Hybrid.,Davis-Anderson,Remote,2-5 years,PhD,"$90,000 - $130,000","Sketch, Prototyping, Interaction Design, User Research, Visual Design",Design
Mobile Developer,We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Microservices and AWS. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Hybrid.,"Leach, Davis and Phillips","New York, NY",5-8 years,PhD,"$130,000 - $180,000","AWS, Git, NoSQL",Software Development
Frontend Developer,We are looking for a Frontend Developer to join our team. The ideal candidate will have experience in Docker and JavaScript. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Remote.,Charles-Thompson,Hybrid,0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","React, AWS, Docker, Git, NoSQL",Software Development
AI Research Scientist,"We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Data Visualization and PyTorch. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in San Francisco, CA.","Cox, Mccarty and Bentley","Austin, TX",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Big Data, Spark, Data Visualization, Hadoop",Data Science
Data Engineer,"We are looking for a Data Engineer to join our team. The ideal candidate will have experience in Big Data and Data Visualization. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in New York, NY.","Burke, Parsons and Arnold",Remote,8+ years,Bachelor's Degree or equivalent experience,"$180,000+","PyTorch, R, Machine Learning, SQL, Spark, Data Analysis",Data Science
Data Scientist,We are looking for a Data Scientist to join our team. The ideal candidate will have experience in SQL and Big Data. This role requires 2-5 years of experience and Master's Degree. The position is based in Hybrid.,Munoz LLC,"San Francisco, CA",8+ years,Bachelor's Degree,"$180,000+","Statistics, TensorFlow, PyTorch, Hadoop, Big Data",Data Science
Data Analyst,"We are looking for a Data Analyst to join our team. The ideal candidate will have experience in Big Data and Big Data. This role requires 8+ years of experience and Master's Degree. The position is based in San Francisco, CA.",Charles-Reese,"Seattle, WA",2-5 years,Master's Degree,"$90,000 - $130,000","R, Python, Statistics",Data Science
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Data Analysis and Google Analytics. This role requires 8+ years of experience and PhD. The position is based in Austin, TX.","Alvarez, Brown and Burch",Remote,5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Content Marketing, SEO, Digital Marketing, Email Marketing",Marketing
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in A/B Testing and Email Marketing. This role requires 8+ years of experience and Master's Degree. The position is based in Austin, TX.",Smith-King,Remote,2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","Marketing Automation, Content Marketing, Data Analysis, Campaign Management, SEO",Marketing
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Adobe XD and Visual Design. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.",Mosley-Ashley,Hybrid,5-8 years,Master's Degree,"$130,000 - $180,000","Figma, Sketch, UI/UX Design, Visual Design, Interaction Design, User Research",Design
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Adobe XD and Figma. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Austin, TX.","Burton, Woodward and Smith","Austin, TX",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","Wireframing, UI/UX Design, Interaction Design, Figma, User Research",Design
